index,content_type,avg_score,critique,scores
0,social_media_review,4.5,真实感强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，互动潜力高'}"
1,social_media_educational,4.5,科普与情感并重，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普与情感并重，品牌契合度高'}"
2,social_media_myth_busting,4.75,专业科普与情感共鸣并存,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与情感共鸣并存'}"
3,social_media_storytelling,4.5,真实感强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，互动潜力高'}"
4,ecommerce_long_form,5.0,专业性强，信息清晰，信任感高,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}"
5,paid_ad_cta,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
6,paid_ad_pas,4.6,极具冲击力的开头，能迅速激发好奇心或击中痛点，让我不点就难受。,"{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头，能迅速激发好奇心或击中痛点，让我不点就难受。'}"
7,paid_ad_bab,4.2,文案情感共鸣强烈，但部分段落略显冗长，可能影响信息流的快速阅读体验。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案情感共鸣强烈，但部分段落略显冗长，可能影响信息流的快速阅读体验。'}"
8,paid_ad_fab,4.2,文案内容详尽但略显冗长，可能影响信息流广告的快速阅读效果。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容详尽但略显冗长，可能影响信息流广告的快速阅读效果。'}"
9,social_media_review,4.5,情感真挚，互动性强,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感真挚，互动性强'}"
10,social_media_educational,4.5,科普性强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普性强，互动潜力高'}"
11,social_media_myth_busting,4.5,专业且互动性强,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '专业且互动性强'}"
12,social_media_storytelling,4.25,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
13,ecommerce_long_form,4.333333333333333,专业且清晰，信任感强,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业且清晰，信任感强'}"
14,paid_ad_cta,5.0,钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
15,paid_ad_pas,4.6,极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。,"{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。'}"
16,paid_ad_bab,4.2,文案在点击吸引力和行动号召有效性方面表现良好，但在简洁性上略显冗长，可能不适合快速滑动的信息流广告场景。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力和行动号召有效性方面表现良好，但在简洁性上略显冗长，可能不适合快速滑动的信息流广告场景。'}"
17,paid_ad_fab,4.0,文案开头极具吸引力，但整体稍显冗长，部分细节可进一步精简,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头极具吸引力，但整体稍显冗长，部分细节可进一步精简'}"
18,social_media_review,4.5,真实感强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，互动潜力高'}"
19,social_media_educational,4.5,科普与情感完美结合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普与情感完美结合'}"
20,social_media_myth_busting,4.75,专业科普与情感共鸣并存,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与情感共鸣并存'}"
21,social_media_storytelling,4.5,真实感强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，互动潜力高'}"
