index,content_type,avg_score,critique,scores
0,social_media_review,4.5,真实感强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，互动潜力高'}"
1,social_media_educational,4.75,科普专业，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科普专业，品牌契合度高'}"
2,social_media_myth_busting,5.0,专业与真实完美融合,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与真实完美融合'}"
3,social_media_storytelling,3.75,基本符合要求，但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '基本符合要求，但故事性稍弱'}"
4,ecommerce_long_form,5.0,专业精准，信息清晰，信任感强,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业精准，信息清晰，信任感强'}"
5,paid_ad_cta,5.0,极具冲击力的钩子和明确的行动号召，完美适配信息流广告的短平快特性。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的钩子和明确的行动号召，完美适配信息流广告的短平快特性。'}"
6,paid_ad_pas,4.8,极具冲击力的痛点放大，能迅速激发好奇心或击中痛点,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的痛点放大，能迅速激发好奇心或击中痛点'}"
7,paid_ad_bab,4.4,文案在简洁性和指令遵循度上表现出色，但在行动号召有效性上略显不足，CTA可以更明确和有说服力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在简洁性和指令遵循度上表现出色，但在行动号召有效性上略显不足，CTA可以更明确和有说服力。'}"
8,paid_ad_fab,4.4,文案简洁有力，科学配方的特点突出，但行动号召（CTA）部分可以更具体和有力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，科学配方的特点突出，但行动号召（CTA）部分可以更具体和有力。'}"
9,social_media_review,4.5,真实反馈与品牌理念完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实反馈与品牌理念完美融合'}"
10,social_media_educational,4.75,专业科普，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}"
11,social_media_myth_busting,4.75,专业且引人入胜的科普,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且引人入胜的科普'}"
