index,content_type,avg_score,critique,scores
0,social_media_review,5.0,故事真实，专业与情感完美融合,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事真实，专业与情感完美融合'}"
1,social_media_educational,4.75,科普深入，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科普深入，品牌契合度高'}"
2,social_media_myth_busting,4.75,专业科普，破除误区,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，破除误区'}"
3,social_media_storytelling,5.0,完美融合品牌理念与真实故事,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '完美融合品牌理念与真实故事'}"
4,ecommerce_long_form,5.0,专业严谨，信息透明,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业严谨，信息透明'}"
5,paid_ad_cta,5.0,极具冲击力的开头迅速激发好奇心，完美遵循指令并高度精炼。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头迅速激发好奇心，完美遵循指令并高度精炼。'}"
6,paid_ad_pas,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合痛点-放大-解决风格。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合痛点-放大-解决风格。'}"
7,paid_ad_bab,4.8,文案简洁有力，核心信息突出，但点击吸引力可进一步提升。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，核心信息突出，但点击吸引力可进一步提升。'}"
8,paid_ad_fab,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
9,social_media_review,5.0,完美融合故事与专业,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '完美融合故事与专业'}"
10,social_media_educational,4.75,专业科普，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}"
11,social_media_myth_busting,4.75,专业科普与品牌理念完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与品牌理念完美融合'}"
12,social_media_storytelling,5.0,完美融合故事与品牌专业,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '完美融合故事与品牌专业'}"
13,ecommerce_long_form,5.0,专业严谨，信息清晰，信任感强,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业严谨，信息清晰，信任感强'}"
14,paid_ad_cta,4.8,文案简洁有力，科学配方和核心成分的提及增强了可信度，但点击吸引力可以进一步提升。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，科学配方和核心成分的提及增强了可信度，但点击吸引力可以进一步提升。'}"
15,paid_ad_pas,5.0,文案简洁有力，痛点放大与解决方案紧密结合，CTA明确且吸引人。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，痛点放大与解决方案紧密结合，CTA明确且吸引人。'}"
16,paid_ad_bab,4.8,文案简洁有力，科学配方和效果描述清晰，但点击吸引力可以进一步提升。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，科学配方和效果描述清晰，但点击吸引力可以进一步提升。'}"
17,paid_ad_fab,4.8,文案简洁有力，科学配方和效果描述清晰，CTA明确且吸引人。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，科学配方和效果描述清晰，CTA明确且吸引人。'}"
18,social_media_review,4.75,专业且真实的用户反馈,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实的用户反馈'}"
19,social_media_educational,4.75,专业科普，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}"
20,social_media_myth_busting,4.75,专业科普，破除误区,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，破除误区'}"
21,social_media_storytelling,5.0,情感真挚，品牌契合度高,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '情感真挚，品牌契合度高'}"
22,ecommerce_long_form,5.0,专业性强，信息清晰，信任感十足,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感十足'}"
23,paid_ad_cta,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
